November 2013 California County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,1.31,-0.8,51,2.11
CA-003,Alpine County,California,0.91,-2.89,15,3.8
CA-005,Amador County,California,1.7,-2.29,32,3.99
CA-007,Butte County,California,2.22,-3.13,29,5.35
CA-009,Calaveras County,California,1.64,-2.18,32,3.82
CA-011,Colusa County,California,1.09,-1.45,39,2.54
CA-013,Contra Costa County,California,1.33,-0.73,53,2.06
CA-015,Del Norte County,California,3.34,-8.55,13,11.89
CA-017,El Dorado County,California,1.61,-3.42,17,5.03
CA-019,Fresno County,California,0.37,-1.49,20,1.86
CA-021,Glenn County,California,0.87,-2.19,27,3.06
CA-023,Humboldt County,California,1.7,-7.42,7,9.12
CA-025,Imperial County,California,0.8,0.59,121,0.21
CA-027,Inyo County,California,0.53,0.05,91,0.48
CA-029,Kern County,California,0.83,0.05,82,0.78
CA-031,Kings County,California,0.23,-0.43,44,0.66
CA-033,Lake County,California,1.4,-3.74,20,5.14
CA-035,Lassen County,California,0.81,-1.44,19,2.25
CA-037,Los Angeles County,California,1.13,-0.16,77,1.29
CA-039,Madera County,California,0.58,-1.76,23,2.34
CA-041,Marin County,California,1.74,-2.65,36,4.39
CA-043,Mariposa County,California,1.08,-2.35,26,3.43
CA-045,Mendocino County,California,1.9,-4.78,16,6.68
CA-047,Merced County,California,0.58,-0.6,43,1.18
CA-049,Modoc County,California,0.75,-1.35,15,2.1
CA-051,Mono County,California,0.32,-1.16,21,1.48
CA-053,Monterey County,California,0.51,-1.45,32,1.96
CA-055,Napa County,California,0.91,-2.63,21,3.54
CA-057,Nevada County,California,1.67,-4.28,16,5.95
CA-059,Orange County,California,0.6,-0.59,58,1.19
CA-061,Placer County,California,1.58,-3.77,17,5.35
CA-063,Plumas County,California,1.4,-3.46,16,4.86
CA-065,Riverside County,California,0.64,0,77,0.64
CA-067,Sacramento County,California,1.06,-1.05,43,2.11
CA-069,San Benito County,California,0.57,-1.1,38,1.67
CA-071,San Bernardino County,California,0.93,0.43,106,0.5
CA-073,San Diego County,California,0.68,-0.51,51,1.19
CA-075,San Francisco County,California,1.39,-1.5,40,2.89
CA-077,San Joaquin County,California,1.11,-0.41,60,1.52
CA-079,San Luis Obispo County,California,0.3,-1.23,31,1.53
CA-081,San Mateo County,California,1.23,-1.93,39,3.16
CA-083,Santa Barbara County,California,0.68,-0.97,52,1.65
CA-085,Santa Clara County,California,0.9,-1.57,37,2.47
CA-087,Santa Cruz County,California,0.89,-2.68,24,3.57
CA-089,Shasta County,California,1.71,-3.65,24,5.36
CA-091,Sierra County,California,1.28,-4.08,15,5.36
CA-093,Siskiyou County,California,1.26,-4.14,8,5.4
CA-095,Solano County,California,0.99,-1.23,41,2.22
CA-097,Sonoma County,California,1.51,-3.7,19,5.21
CA-099,Stanislaus County,California,0.92,-0.54,50,1.46
CA-101,Sutter County,California,0.99,-1.25,37,2.24
CA-103,Tehama County,California,1.92,-2.62,33,4.54
CA-105,Trinity County,California,1.89,-5.96,13,7.85
CA-107,Tulare County,California,0.68,-1.25,36,1.93
CA-109,Tuolumne County,California,1.21,-3.12,23,4.33
CA-111,Ventura County,California,0.84,-0.85,61,1.69
CA-113,Yolo County,California,0.87,-1.37,38,2.24
CA-115,Yuba County,California,1.73,-2.84,29,4.57
